# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       388.218               -140452                        0         
       388.402               -141387                         0        
       388.587               -140963                         0        
       388.771               -140367                         0        
       388.955               -141319                         0        
       389.139               -140736                         0        
       389.324               -140304                         0        
       389.508               -141239                         0        
       389.693               -140502                         0        
       389.877               -140264                        0         
       390.062               -141140                        0         
       390.247               -140267                        0         
       390.431               -140249                        0         
       390.616               -141014                        0         
       390.801               -140037                        0         
       390.985               -140256                        0         
       391.17               -140854                         0         
       391.355               -139824                         0        
       391.54               -140280                          0        
       391.725               -140656                         0        
       391.91               -139639                          0        
       392.095               -140312                         0        
       392.28               -140420                          0        
       392.465               -139494                         0        
       392.651               -140337                         0        
       392.836               -140147                        0         
       393.021               -139400                        0         
       393.206               -140340                        0         
       393.392               -139849                        0         
       393.577               -139362                        0         
       393.763               -140301                        0         
       393.948               -139543                        0         
       394.134               -139380                        0         
       394.319               -140203                         0        
       394.505               -139250                         0        
       394.691               -139445                         0        
       394.876               -140033                         0        
       395.062               -138999                         0        
       395.248               -139535                         0        
       395.434               -139788                         0        
       395.62               -138816                          0        
       395.806               -139620                        0         
       395.992               -139477                        0         
       396.178               -138720                        0         
       396.364               -139665                        0         
       396.55               -139126                         0         
       396.736               -138719                        0         
       396.922               -139631                        0         
       397.108               -138774                        0         
       397.295               -138801                         0        
       397.481               -139493                         0        
       397.667               -138470                         0        
       397.854               -138934                         0        
       398.04               -139242                          0        
       398.227               -138260                         0        
       398.413               -139063                         0        
       398.6               -138895                           0        
       398.786               -138176                        0         
       398.973               -139129                        0         
       399.16               -138500                         0         
       399.347               -138224                        0         
       399.533               -139076                        0         
       399.72               -138125                         0         
       399.907               -138369                        0         
       400.094               -138872                        0         
       400.281               -137846                         0        
       400.468               -138545                         0        
       400.655               -138529                         0        
       400.842               -137721                         0        
       401.029               -138662                         0        
       401.217               -138105                         0        
       401.404               -137766                         0        
       401.591               -138637                         0        
       401.778               -137696                        0         
       401.966               -137940                        0         
       402.153               -138425                        0         
       402.341               -137406                        0         
       402.528               -138147                        0         
       402.716               -138044                        0         
       402.903               -137310                        0         
       403.091               -138264                        0         
       403.279               -137584                         0        
       403.466               -137416                         0        
       403.654               -138190                         0        
       403.842               -137179                         0        
       404.03               -137644                          0        
       404.218               -137890                         0        
       404.406               -136959                         0        
       404.594               -137850                         0        
       404.782               -137429                        0         
       404.97               -136984                         0         
       405.158               -137883                        0         
       405.346               -136959                        0         
       405.534               -137203                        0         
       405.723               -137656                        0         
       405.911               -136654                        0         
       406.099               -137459                        0         
       406.288               -137208                         0        
       406.476               -136621                         0        
       406.664               -137558                         0        
       406.853               -136701                         0        
       407.042               -136834                         0        
       407.23               -137370                          0        
       407.419               -136351                         0        
       407.607               -137119                         0        
       407.796               -136918                        0         
       407.985               -136303                        0         
       408.174               -137243                        0         
       408.363               -136389                        0         
       408.552               -136534                        0         
       408.74               -137046                         0         
       408.929               -136036                        0         
       409.118               -136838                        0         
       409.308               -136562                         0        
       409.497               -136025                         0        
       409.686               -136941                         0        
       409.875               -136022                         0        
       410.064               -136303                         0        
       410.254               -136679                         0        
       410.443               -135720                         0        
       410.632               -136606                         0        
       410.822               -136139                         0        
       411.011               -135803                         0        
       411.201               -136627                         0        
       411.39               -135622                          0        
       411.58               -136140                          0        
       411.77               -136247                          0        
       411.959               -135439                         0        
       412.149               -136391                         0        
       412.339               -135656                          0       
       412.529               -135661                          0       
       412.718               -136253                          0       
       412.908               -135234                          0       
       413.098               -136026                          0       
       413.288               -135727                          0       
       413.478               -135250                          0       
       413.668               -136128                          0       
       413.859               -135152                         0        
       414.049               -135608                         0        
       414.239               -135762                         0        
       414.429               -134941                         0        
       414.619               -135892                         0        
       414.81               -135138                          0        
       415               -135198                             0        
       415.191               -135725                         0        
       415.381               -134729                          0       
       415.572               -135585                          0       
       415.762               -135138                          0       
       415.953               -134833                          0       
       416.143               -135612                          0       
       416.334               -134588                          0       
       416.525               -135249                          0       
       416.716               -135119                          0       
       416.907               -134525                         0        
       417.097               -135436                         0        
       417.288               -134485                         0        
       417.479               -134914                         0        
       417.67               -135062                          0        
       417.861               -134269                         0        
       418.052               -135220                         0        
       418.244               -134394                         0        
       418.435               -134600                          0       
       418.626               -134967                          0       
       418.817               -134052                          0       
       419.008               -134986                          0       
       419.2               -134296                            0       
       419.391               -134315                          0       
       419.583               -134838                          0       
       419.774               -133859                          0       
       419.966               -134750                         0        
       420.157               -134181                         0        
       420.349               -134059                         0        
       420.541               -134684                         0        
       420.732               -133676                         0        
       420.924               -134523                         0        
       421.116               -134042                         0        
       421.308               -133830                         0        
       421.499               -134513                          0       
       421.691               -133495                          0       
       421.883               -134312                          0       
       422.075               -133879                          0       
       422.267               -133626                          0       
       422.459               -134330                          0       
       422.652               -133310                          0       
       422.844               -134121                          0       
       423.036               -133690                         0        
       423.228               -133445                         0        
       423.421               -134137                         0        
       423.613               -133120                         0        
       423.805               -133949                         0        
       423.998               -133476                         0        
       424.19               -133287                          0        
       424.383               -133932                         0        
       424.575               -132928                          0       
       424.768               -133794                          0       
       424.961               -133237                          0       
       425.153               -133154                          0       
       425.346               -133711                          0       
       425.539               -132740                          0       
       425.732               -133651                          0       
       425.925               -132977                          0       
       426.118               -133049                         0        
       426.31               -133466                          0        
       426.503               -132566                         0        
       426.697               -133509                         0        
       426.89               -132701                          0        
       427.083               -132972                         0        
       427.276               -133189                         0        
       427.469               -132420                         0        
       427.662               -133354                          0       
       427.856               -132420                          0       
       428.049               -132919                          0       
       428.243               -132876                          0       
       428.436               -132315                          0       
       428.629               -133166                          0       
       428.823               -132155                          0       
       429.017               -132877                          0       
       429.21               -132528                          0        
       429.404               -132262                         0        
       429.598               -132924                         0        
       429.791               -131930                         0        
       429.985               -132822                         0        
       430.179               -132160                         0        
       430.373               -132262                         0        
       430.567               -132611                         0        
       430.761               -131777                          0       
       430.955               -132718                          0       
       431.149               -131804                          0       
       431.343               -132296                          0       
       431.537               -132226                          0       
       431.731               -131719                          0       
       431.926               -132524                          0       
       432.12               -131508                           0       
       432.314               -132319                         0        
       432.508               -131796                         0        
       432.703               -131755                         0        
       432.897               -132210                         0        
       433.092               -131326                         0        
       433.286               -132268                         0        
       433.481               -131379                         0        
       433.676               -131848                         0        
       433.87               -131782                           0       
       434.065               -131294                          0       
       434.26               -132073                           0       
       434.455               -131063                          0       
       434.649               -131914                          0       
       434.844               -131296                          0       
       435.039               -131394                          0       
       435.234               -131702                          0       
       435.429               -130927                       0          
       435.624               -131844                       0          
       435.819               -130868                       0          
       436.014               -131535                       0          
       436.21               -131195                        0          
       436.405               -130994                       0          
       436.6               -131551                         0          
       436.796               -130630                       0          
       436.991               -131567                        0         
       437.186               -130689                        0         
       437.382               -131176                        0         
       437.577               -131050                        0         
       437.773               -130653                        0         
       437.968               -131348                        0         
       438.164               -130369                        0         
       438.36               -131284                         0         
       438.555               -130491                       0          
       438.751               -130859                       0          
       438.947               -130855                       0          
       439.143               -130359                       0          
       439.339               -131113                       0          
       439.535               -130119                       0          
       439.731               -131015                       0          
       439.927               -130259                       0          
       440.123               -130589                        0         
       440.319               -130612                        0         
       440.515               -130106                        0         
       440.711               -130858                        0         
       440.907               -129868                        0         
       441.104               -130770                        0         
       441.3               -129989                          0         
       441.496               -130368                        0         
       441.693               -130323                       0          
       441.889               -129891                       0          
       442.086               -130583                       0          
       442.282               -129620                       0          
       442.479               -130544                       0          
       442.676               -129685                       0          
       442.872               -130193                       0          
       443.069               -129986                       0          
       443.266               -129721                        0         
       443.463               -130274                        0         
       443.659               -129391                        0         
       443.856               -130318                        0         
       444.053               -129364                        0         
       444.25               -130053                         0         
       444.447               -129603                        0         
       444.644               -129607                        0         
       444.841               -129911                       0          
       445.039               -129211                       0          
       445.236               -130059                       0          
       445.433               -129059                       0          
       445.63               -129922                        0          
       445.828               -129189                       0          
       446.025               -129546                       0          
       446.222               -129480                       0          
       446.42               -129111                         0         
       446.617               -129722                        0         
       446.815               -128821                        0         
       447.013               -129746                        0         
       447.21               -128791                         0         
       447.408               -129507                        0         
       447.606               -128991                        0         
       447.803               -129101                        0         
       448.001               -129273                       0          
       448.199               -128708                       0          
       448.397               -129454                       0          
       448.595               -128489                       0          
       448.793               -129410                       0          
       448.991               -128514                       0          
       449.189               -129136                       0          
       449.387               -128728                       0          
       449.585               -128737                        0         
       449.784               -128990                        0         
       449.982               -128371                        0         
       450.18               -129143                         0         
       450.378               -128173                        0         
       450.577               -129091                        0         
       450.775               -128196                        0         
       450.974               -128830                        0         
       451.172               -128390                       0          
       451.371               -128453                       0          
       451.569               -128636                       0          
       451.768               -128092                       0          
       451.967               -128800                       0          
       452.165               -127868                       0          
       452.364               -128789                       0          
       452.563               -127839                       0          
       452.762               -128585                        0         
       452.961               -127981                        0         
       453.16               -128247                         0         
       453.359               -128206                        0         
       453.558               -127884                        0         
       453.757               -128401                        0         
       453.956               -127604                        0         
       454.155               -128469                        0         
       454.354               -127481                         0          
       454.554               -128365                         0          
       454.753               -127528                         0          
       454.952               -128108                         0          
       455.152               -127698                         0          
       455.351               -127768                         0          
       455.551               -127906                         0          
       455.75               -127438                          0          
       455.95               -128060                           0         
       456.149               -127201                          0         
       456.349               -128090                          0         
       456.549               -127106                          0         
       456.748               -127971                          0         
       456.948               -127155                          0         
       457.148               -127725                          0         
       457.348               -127308                          0         
       457.548               -127407                         0          
       457.748               -127495                         0          
       457.948               -127092                         0          
       458.148               -127643                         0          
       458.348               -126849                         0          
       458.548               -127695                         0          
       458.748               -126720                         0          
       458.948               -127623                         0          
       459.149               -126716                          0         
       459.349               -127433                          0         
       459.549               -126815                          0         
       459.75               -127161                           0         
       459.95               -126971                           0         
       460.151               -126860                          0         
       460.351               -127128                          0         
       460.552               -126585                          0         
       460.752               -127234                         0          
       460.953               -126382                         0          
       461.154               -127253                         0          
       461.354               -126276                         0          
       461.555               -127170                         0          
       461.756               -126272                         0          
       461.957               -126993                         0          
       462.158               -126350                         0          
       462.359               -126749                          0         
       462.56               -126477                           0         
       462.761               -126475                          0         
       462.962               -126613                          0         
       463.163               -126212                          0         
       463.364               -126721                          0         
       463.565               -125994                          0         
       463.767               -126770                          0         
       463.968               -125845                         0          
       464.169               -126744                         0          
       464.371               -125774                         0          
       464.572               -126639                         0          
       464.774               -125779                         0          
       464.975               -126467                         0          
       465.177               -125842                         0          
       465.378               -126247                         0          
       465.58               -125941                           0         
       465.782               -126004                          0         
       465.983               -126049                          0         
       466.185               -125764                          0         
       466.387               -126143                          0         
       466.589               -125551                          0         
       466.791               -126201                          0         
       466.993               -125381                          0         
       467.195               -126209                         0          
       467.397               -125264                         0          
       467.599               -126163                         0          
       467.801               -125203                         0          
       468.003               -126063                         0          
       468.206               -125192                         0          
       468.408               -125916                         0          
       468.61               -125223                          0          
       468.813               -125734                          0         
       469.015               -125282                          0         
       469.217               -125532                          0         
       469.42               -125355                           0         
       469.622               -125323                          0         
       469.825               -125428                          0         
       470.028               -125120                          0         
       470.23               -125487                           0         
       470.433               -124937                         0          
       470.636               -125525                         0          
       470.838               -124779                         0          
       471.041               -125533                         0          
       471.244               -124652                         0          
       471.447               -125509                         0          
       471.65               -124559                          0          
       471.853               -125452                         0          
       472.056               -124497                          0         
       472.259               -125365                          0         
       472.462               -124464                          0         
       472.666               -125252                          0         
       472.869               -124455                          0         
       473.072               -125117                          0         
       473.275               -124464                          0         
       473.479               -124968                          0         
       473.682               -124486                         0          
       473.886               -124809                         0          
       474.089               -124514                         0          
       474.293               -124646                         0          
       474.496               -124543                         0          
       474.7               -124485                           0          
       474.904               -124569                         0          
       475.107               -124329                         0          
       475.311               -124588                          0         
       475.515               -124181                          0         
       475.719               -124598                          0         
       475.923               -124044                          0         
       476.126               -124596                          0         
       476.33               -123918                           0         
       476.534               -124583                          0         
       476.739               -123805                          0         
       476.943               -124557                         0          
       477.147               -123704                         0          
       477.351               -124520                         0          
       477.555               -123615                         0          
       477.76               -124472                          0          
       477.964               -123536                         0          
       478.168               -124414                         0          
       478.373               -123466                         0          
       478.577               -124348                          0         
       478.782               -123403                          0         
       478.986               -124275                          0         
       479.191               -123348                          0         
       479.395               -124196                          0         
       479.6               -123297                            0         
       479.805               -124113                          0         
       480.009               -123249                          0         
       480.214               -124028                          0         
       480.419               -123204                          0         
       480.624               -123941                          0         
       480.829               -123160                          0         
       481.034               -123853                          0         
       481.239               -123117                          0         
       481.444               -123765                          0         
       481.649               -123073                          0         
       481.854               -123678                           0        
       482.059               -123028                           0        
       482.265               -123593                           0        
       482.47               -122981                            0        
       482.675               -123510                           0        
       482.881               -122932                           0        
       483.086               -123429                           0        
       483.292               -122881                           0        
       483.497               -123351                          0         
       483.703               -122827                          0         
       483.908               -123276                          0         
       484.114               -122770                          0         
       484.32               -123203                           0         
       484.525               -122711                          0         
       484.731               -123134                          0         
       484.937               -122648                          0         
       485.143               -123068                           0        
       485.349               -122582                           0        
       485.555               -123005                           0        
       485.76               -122513                            0        
       485.967               -122946                           0        
       486.173               -122441                           0        
       486.379               -122889                           0        
       486.585               -122367                           0        
       486.791               -122836                          0         
       486.997               -122289                          0         
       487.204               -122785                          0         
       487.41               -122209                           0         
       487.616               -122736                          0         
       487.823               -122127                          0         
       488.029               -122690                          0         
       488.236               -122043                          0         
       488.442               -122645                           0        
       488.649               -121958                           0        
       488.855               -122601                           0        
       489.062               -121872                           0        
       489.269               -122558                           0        
       489.476               -121787                           0        
       489.682               -122514                           0        
       489.889               -121702                           0        
       490.096               -122469                          0         
       490.303               -121619                          0         
       490.51               -122422                           0         
       490.717               -121539                          0         
       490.924               -122371                          0         
       491.131               -121464                          0         
       491.339               -122315                          0         
       491.546               -121394                          0         
       491.753               -122253                           0        
       491.96               -121332                            0        
       492.168               -122183                           0        
       492.375               -121277                           0        
       492.582               -122105                           0        
       492.79               -121232                            0        
       492.997               -122016                           0        
       493.205               -121198                           0        
       493.413               -121917                          0         
       493.62               -121175                           0         
       493.828               -121806                          0         
       494.036               -121164                          0         
       494.243               -121683                          0         
       494.451               -121165                          0         
       494.659               -121550                          0         
       494.867               -121176                          0         
       495.075               -121407                           0        
       495.283               -121195                           0        
       495.491               -121256                           0        
       495.699               -121221                           0        
       495.907               -121102                           0        
       496.115               -121249                           0        
       496.324               -120947                           0        
       496.532               -121275                           0        
       496.74               -120796                           0         
       496.948               -121294                          0         
       497.157               -120656                          0         
       497.365               -121301                          0         
       497.574               -120531                          0         
       497.782               -121289                          0         
       497.991               -120426                          0         
       498.199               -121255                          0         
       498.408               -120348                           0        
       498.617               -121192                           0        
       498.826               -120298                           0        
       499.034               -121100                           0        
       499.243               -120280                           0        
       499.452               -120976                           0        
       499.661               -120292                           0        
       499.87               -120825                            0        
       500.079               -120330                          0         
       500.288               -120649                          0         
       500.497               -120388                          0         
       500.706               -120458                          0         
       500.915               -120457                          0         
       501.124               -120263                          0         
       501.334               -120524                          0         
       501.543               -120075                          0         
       501.752               -120577                           0        
       501.962               -119909                           0        
       502.171               -120602                           0        
       502.381               -119777                           0        
       502.59               -120587                            0        
       502.8               -119690                             0        
       503.009               -120524                           0        
       503.219               -119653                           0        
       503.429               -120409                          0         
       503.638               -119668                          0         
       503.848               -120246                          0         
       504.058               -119726                          0         
       504.268               -120044                          0         
       504.478               -119816                          0         
       504.688               -119822                          0         
       504.898               -119916                          0         
       505.108               -119599                           0        
       505.318               -120005                           0        
       505.528               -119401                           0        
       505.738               -120058                           0        
       505.949               -119250                           0        
       506.159               -120054                           0        
       506.369               -119162                           0        
       506.579               -119981                           0        
       506.79               -119147                          0          
       507               -119836                             0          
       507.211               -119200                         0          
       507.421               -119631                         0          
       507.632               -119303                         0          
       507.842               -119388                         0          
       508.053               -119428                         0          
       508.264               -119141                         0          
       508.475               -119541                          0         
       508.685               -118925                          0         
       508.896               -119604                          0         
       509.107               -118773                          0         
       509.318               -119590                          0         
       509.529               -118709                          0         
       509.74               -119484                           0         
       509.951               -118737                          0         
       510.162               -119291                         0          
       510.373               -118840                         0          
       510.584               -119038                         0          
       510.796               -118985                         0          
       511.007               -118768                         0          
       511.218               -119122                         0          
       511.43               -118530                          0          
       511.641               -119202                         0          
       511.852               -118371                          0         
