# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       -0.638654               339212              -553.592      
       -0.631206               339951               612.771      
       -0.623802               301310               1729.38      
       -0.616441               227451                2668.6      
       -0.609124               126485               3323.44      
       -0.601851               9498.13              3619.14      
       -0.594622               -110720              3520.82      
       -0.587436               -221098              3036.61      
       -0.580294               -309696              2215.99      
       -0.573196               -366951              1143.88      
       -0.566141               -386646             -68.9826      
       -0.55913               -366486              -1297.88      
       -0.552163               -308274             -2417.18      
       -0.545239               -217647             -3313.02      
       -0.538359               -103446             -3894.47      
       -0.531523               23213.6             -4102.08      
       -0.52473               150070               -3913.05      
       -0.517981               264914              -3342.79      
       -0.511276               356749              -2442.75      
       -0.504615               416799              -1294.87      
       -0.497997               439280              -3.51456      
       -0.491423               421874               1314.53      
       -0.484892               365869               2540.79      
       -0.478405               275975               3565.65      
       -0.471962               159848               4297.78      
       -0.465563               27364.5              4671.71      
       -0.459207               -110263               4652.9      
       -0.452895               -241460              4239.99      
       -0.446627               -355260              3464.33      
       -0.440402               -442192              2386.69      
       -0.434221               -495018               1091.8      
       -0.428083               -509263             -318.902      
       -0.42199               -483513              -1735.55      
       -0.41594               -419461              -3048.53      
       -0.409934               -321714             -4156.88      
       -0.403971               -197381             -4975.61      
       -0.398052               -55497.2            -5441.75      
       -0.392177               93681.8             -5518.41      
       -0.386345               239445              -5196.93      
       -0.380557               371398              -4496.84      
       -0.374813               480183              -3463.91      
       -0.369112               558103              -2166.43      
       -0.363456               599608               -690.08      
       -0.357842               601620               868.169      
       -0.352273               563676               2406.66      
       -0.346747               487906               3825.74      
       -0.341265               378832               5034.04      
       -0.335827               243032               5954.01      
       -0.330432               88685.5              6526.37      
       -0.325081               -74963.4             6713.29      
       -0.319773               -238183              6500.13      
       -0.31451               -391342               5895.75      
       -0.30929               -525463               4931.44      
       -0.304113               -632717               3658.6      
       -0.298981               -706842               2145.4      
       -0.293892               -743442              472.614      
       -0.288846               -740182             -1271.03      
       -0.283845               -696866             -2993.75      
       -0.278887               -615384             -4605.57      
       -0.273973               -499571             -6022.86      
       -0.269102               -354959             -7172.36      
       -0.264275               -188460             -7994.55      
       -0.259492               -7990.74            -8446.17      
       -0.254752               177929              -8501.83      
       -0.250057               360595              -8154.71      
       -0.245404               531528              -7416.43      
       -0.240796               682847              -6315.97      
       -0.236231               807606              -4897.94      
       -0.23171               900073               -3220.25      
       -0.227233               955936              -1351.25      
       -0.222799               972452               633.368      
       -0.218409               948511               2653.88      
       -0.214062               884634               4629.78      
       -0.20976               782907                6483.02      
       -0.205501               646855               8140.82      
       -0.201285               481267               9538.32      
       -0.197114               291977               10620.7      
       -0.192986               85623.9              11344.7      
       -0.188902               -130610              11680.1      
       -0.184861               -349266              11610.1      
       -0.180864               -562873              11131.4      
       -0.176911               -764195              10254.1      
       -0.173001               -946463              9001.01      
       -0.169135               -1103570             7406.22      
       -0.165313               -1230250             5513.92      
       -0.161535               -1322210             3376.76      
       -0.1578               -1376200               1053.98      
       -0.154109               -1390110            -1390.41      
       -0.150461               -1362980            -3889.59      
       -0.146857               -1294970            -6375.73      
       -0.143297               -1187340            -8781.83      
       -0.139781               -1042370            -11043.3      
       -0.136308               -863249             -13099.6      
       -0.132879               -654003             -14895.2      
       -0.129494               -419330             -16380.8      
       -0.126152               -164485             -17514.3      
       -0.122854               104869              -18261.2      
       -0.1196               382798                -18594.9      
       -0.116389               663236              -18497.1      
       -0.113222               940115              -17957.6      
       -0.110099               1207490             -16974.1      
       -0.107019               1459660             -15551.6      
       -0.103983               1691230             -13702.3      
       -0.100991               1897240             -11444.7      
       -0.0980425               2073220            -8803.03      
       -0.0951377               2215220            -5806.18      
       -0.0922765               2319870            -2487.29      
       -0.089459               2384420              1117.33      
       -0.0866852               2406720             4968.88      
       -0.083955               2385230              9026.97      
       -0.0812686               2319030             13250.3      
       -0.0786258               2207760             17597.3      
       -0.0760267               2051610             22027.1      
       -0.0734713               1851290             26499.5      
       -0.0709596               1607970             30976.3      
       -0.0684915               1323260             35420.9      
       -0.0660672               999110              39799.4      
       -0.0636865               637814              44080.2      
       -0.0613495               241926              48234.8      
       -0.0590562               -185783             52237.7      
       -0.0568065               -642375             56066.6      
       -0.0546006               -1124790            59702.3      
       -0.0524383               -1629910            63128.6      
       -0.0503197               -2154560            66332.6      
       -0.0482448               -2695590            69304.4      
       -0.0462136               -3249880            72036.8      
       -0.0442261               -3814410            74525.5      
       -0.0422822               -4386210            76768.6      
       -0.040382               -4962480             78766.6      
       -0.0385255               -5540540            80522.1      
       -0.0367127               -6117850            82039.5      
       -0.0349436               -6692070            83325.2      
       -0.0332181               -7261020            84386.9      
       -0.0315364               -7822690            85233.6      
       -0.0298983               -8375270            85875.3      
       -0.0283039               -8917140              86323      
       -0.0267532               -9446840            86588.4      
       -0.0252461               -9963100            86683.8      
       -0.0237828               -10464800           86621.6      
       -0.0223631               -10951100           86414.8      
       -0.0209871               -11421100           86076.2      
       -0.0196548               -11874300           85618.7      
       -0.0183662               -12310100           85055.1      
