# z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         15.2911              -4.33226e+08                -8.23609e+07                           -1271190   
         15.5954              -4.23634e+08                -7.75143e+07                           -1352200   
         15.9026              -4.11662e+08                -7.53136e+07                           -924404    
         16.2129              -4.04225e+08                 -8.6572e+07                           -748443    
         16.5262              -3.94764e+08                -9.49592e+07                           -1018820   
         16.8425              -3.85492e+08                -1.02141e+08                           -504974    
         17.1618              -3.76793e+08                -1.06993e+08                           -507644    
          17.484              -3.68318e+08                -1.07974e+08                          -466862     
         17.8093              -3.61526e+08                -1.08147e+08                           -757199    
         18.1376              -3.52299e+08                -1.00157e+08                           -821811    
         18.4689              -3.44707e+08                 -9.3423e+07                           -692078    
         18.8031               -3.3909e+08                -8.99461e+07                           -476516    
         19.1404              -3.30267e+08                -8.04291e+07                           -379948    
         19.4807              -3.23401e+08                -7.58515e+07                           -425283    
         19.8239              -3.18304e+08                -7.60259e+07                           -789012    
         20.1702              -3.10364e+08                -7.15137e+07                           -675996    
         20.5194                -3.042e+08                -7.11018e+07                           -756610    
         20.8717              -2.99035e+08                 -7.2688e+07                           -542536    
          21.227              -2.92622e+08                -7.13026e+07                          -785279     
         21.5852              -2.87212e+08                -7.11412e+07                           -766020    
         21.9465              -2.81207e+08                -6.89008e+07                           -425703    
         22.3107              -2.77045e+08                -6.95385e+07                           -725580    
          22.678               -2.7216e+08                -6.81206e+07                          -714145     
         23.0482              -2.65687e+08                -6.31595e+07                           -408564    
         23.4214              -2.62285e+08                -6.41937e+07                           -699392    
         23.7977              -2.57136e+08                -6.17294e+07                           -679137    
         24.1769              -2.52578e+08                -6.04943e+07                           -513681    
         24.5591              -2.46702e+08                -5.66464e+07                           -551271    
         24.9444              -2.41868e+08                -5.48325e+07                           -439299    
         25.3326              -2.38324e+08                -5.54571e+07                           -602992    
         25.7238              -2.33887e+08                -5.40781e+07                           -285478    
         26.1181              -2.30404e+08                -5.43511e+07                           -346578    
         26.5153              -2.25406e+08                -5.13319e+07                           -267373    
         26.9155              -2.22322e+08                -5.19088e+07                           -558050    
         27.3187              -2.17673e+08                -4.91591e+07                           -465025    
          27.725              -2.14678e+08                -4.95647e+07                          -530339     
         28.1342              -2.10061e+08                -4.66006e+07                           -265132    
         28.5464              -2.07298e+08                -4.72331e+07                           -442367    
         28.9616              -2.03119e+08                -4.49212e+07                           -361727    
         29.3798              -2.00094e+08                -4.47985e+07                           -288292    
          29.801              -1.95954e+08                -4.23139e+07                          -253005     
         30.2252                -1.931e+08                -4.22608e+07                           -228215    
         30.6524              -1.90587e+08                -4.27507e+07                           -367891    
         31.0826              -1.87637e+08                -4.22304e+07                           -207467    
         31.5158              -1.84665e+08                -4.15386e+07                           -203360    
          31.952               -1.8035e+08                -3.80414e+07                          -336801     
         32.3912               -1.7831e+08                -3.89863e+07                           -211205    
         32.8334              -1.75138e+08                -3.75628e+07                           -232289    
         33.2786              -1.72149e+08                -3.64038e+07                           -214347    
         33.7268              -1.69185e+08                -3.51933e+07                           -323996    
          34.178              -1.66437e+08                -3.43172e+07                          -376648     
         34.6322              -1.64798e+08                 -3.5561e+07                           -220551    
         35.0894              -1.61308e+08                -3.30042e+07                           -362453    
         35.5495              -1.58873e+08                -3.24633e+07                           -267142    
