 # z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         16.8425               -2.21005e+08             -2.83195e+07             -365670 
         17.1618               -2.30597e+08             -6.06411e+07             -367604 
          17.484               -2.10989e+08             -3.76735e+07            -338073 
         17.8093               -2.20044e+08             -7.29797e+07             -548316 
         18.1376               -2.04631e+08             -5.82547e+07             -595104 
         18.4689               -2.04491e+08             -7.16218e+07             -501160 
         18.8031               -2.05471e+08               -8.405e+07             -345063 
         19.1404               -1.89506e+08             -5.93924e+07             -275135 
         19.4807               -1.91953e+08             -6.89707e+07             -307964 
         19.8239               -1.94727e+08             -7.75006e+07             -571354 
         20.1702               -1.84248e+08             -5.88155e+07             -489514 
         20.5194               -1.74492e+08             -4.17791e+07             -547890 
         20.8717               -1.72638e+08             -4.13721e+07             -392871 
          21.227               -1.74156e+08             -4.88102e+07            -568650 
         21.5852               -1.74448e+08             -5.48421e+07             -554704 
         21.9465               -1.72685e+08             -5.75222e+07             -308268 
         22.3107               -1.69813e+08             -5.83233e+07             -525420 
          22.678               -1.66676e+08             -5.85106e+07            -517140 
         23.0482               -1.63439e+08             -5.80802e+07             -295856 
         23.4214               -1.59583e+08             -5.58026e+07             -506456 
         23.7977               -1.54231e+08             -4.98905e+07             -491789 
         24.1769                 -1.473e+08             -4.02769e+07             -371976 
         24.5591               -1.41382e+08             -3.23289e+07             -399196 
         24.9444               -1.41044e+08              -3.5378e+07             -318113 
         25.3326               -1.45148e+08             -4.73165e+07             -436649 
         25.7238               -1.42417e+08             -4.56764e+07             -206726 
         26.1181               -1.32081e+08             -2.89415e+07             -250971 
         26.5153               -1.33603e+08             -3.60281e+07             -193615 
         26.9155               -1.35918e+08             -4.47225e+07             -404105 
         27.3187               -1.24691e+08             -2.62537e+07             -336743 
          27.725               -1.30836e+08             -4.24169e+07            -384038 
         28.1342               -1.22615e+08             -2.96656e+07             -191992 
         28.5464               -1.24851e+08             -3.76661e+07             -320334 
         28.9616               -1.18587e+08              -2.8508e+07             -261940 
         29.3798               -1.22104e+08             -3.88066e+07             -208763 
          29.801               -1.12571e+08              -2.2915e+07            -183211 
         30.2252               -1.18864e+08             -3.86436e+07             -165259 
         30.6524               -1.12143e+08             -2.82954e+07             -266404 
         31.0826               -1.07871e+08             -2.28153e+07             -150235 
         31.5158               -1.12738e+08              -3.5581e+07             -147261 
          31.952               -1.09998e+08             -3.30657e+07            -243890 
         32.3912               -1.02984e+08             -2.19274e+07             -152942 
         32.8334                -1.0062e+08             -2.00213e+07             -168210 
         33.2786                -1.0212e+08             -2.57734e+07             -155217 
         33.7268               -1.03446e+08             -3.11069e+07             0
          34.178               -1.03114e+08             -3.30603e+07             0
         34.6322               -1.01684e+08             -3.27648e+07             0
         35.0894               -1.00006e+08             -3.19233e+07             0
         35.5495               -9.85062e+07             -3.13921e+07             0
         36.0127                -9.7131e+07             -3.10655e+07             0
         36.4789               -9.53796e+07             -2.99394e+07             0
         36.9481               -9.24778e+07             -2.64628e+07             0
         37.4202               -8.82419e+07             -2.02675e+07             0
         37.8954                -8.4592e+07             -1.51966e+07             0
         38.3736               -8.49396e+07             -1.80789e+07             0
         38.8548               -8.81266e+07             -2.65993e+07             0
         39.3389               -8.59776e+07             -2.43993e+07             0
         39.8261               -7.97693e+07             -1.40352e+07             0
         40.3162               -8.25057e+07             -2.15319e+07             0
         40.8094               -8.25319e+07             -2.35673e+07             0
         41.3056               -7.63672e+07             -1.31749e+07             0
         41.8047               -8.14261e+07              -2.5206e+07             0
         42.3069               -7.44066e+07             -1.30293e+07             0
          42.812                -7.8858e+07             -2.37721e+07             0
         43.3202               -7.22073e+07             -1.22626e+07             0
