# z[m]=zi*speed_c*beta       WX/Z_0/L[1/(m^2*s]       WY/Z_0/L[1/(m^2*s]     WY_trail/Z_0/L[1/(m^2*s]        Wz_l/Z_0/L[1/(ms)]       
        -0.534401               6.80002e+07                   5.78195e+08                   6.83521e+07                       117362            
        -0.513238                6.3766e+07                   6.00682e+08                    6.3649e+07                       122459            
        -0.492502               5.98343e+07                   6.25217e+08                   5.93249e+07                       108740            
        -0.472194               5.65593e+07                   6.52607e+08                   5.58699e+07                      83079.8            
        -0.452313               5.40565e+07                   6.83185e+08                   5.34764e+07                      56379.7            
         -0.43286               5.21693e+07                    7.1672e+08                   5.19841e+07                      40356.2            
        -0.413835               5.05137e+07                   7.52505e+08                   5.09283e+07                      44287.2            
        -0.395237               4.85816e+07                    7.8956e+08                    4.9666e+07                      72618.5            
        -0.377067               4.58708e+07                   8.26895e+08                   4.75402e+07                       123963            
        -0.359324               4.20031e+07                   8.63757e+08                   4.40355e+07                       191582            
        -0.342009               3.68058e+07                   8.99802e+08                   3.88882e+07                       265048            
        -0.325121               3.03407e+07                   9.35167e+08                   3.21311e+07                       332557            
        -0.308661               2.28817e+07                    9.7043e+08                   2.40727e+07                       383279            
        -0.292628               1.48528e+07                   1.00649e+09                   1.52222e+07                       409241            
        -0.277023               6.74481e+06                   1.04439e+09                   6.18626e+06                       406424            
        -0.261845                   -969652                   1.08517e+09                  -2.44124e+06                       374963            
        -0.247095              -7.90577e+06                   1.12967e+09                  -1.01712e+07                       318547            
        -0.232773               -1.3811e+07                    1.1785e+09                  -1.66816e+07                       243255            
        -0.218878              -1.85797e+07                   1.23192e+09                  -2.18416e+07                       156110            
         -0.20541              -2.22411e+07                   1.28994e+09                  -2.57005e+07                      63661.6            
        -0.192371               -2.4925e+07                   1.35231e+09                  -2.84468e+07                     -29148.6            
        -0.179758              -2.68161e+07                   1.41865e+09                  -3.03449e+07                      -119633            
        -0.167573              -2.81046e+07                   1.48853e+09                  -3.16573e+07                      -207315            
        -0.155816              -2.89414e+07                   1.56155e+09                  -3.25542e+07                      -292978            
        -0.144486              -2.94064e+07                   1.63743e+09                  -3.30035e+07                      -376450            
        -0.133584              -2.94954e+07                   1.71601e+09                  -3.26284e+07                      -452521            
        -0.123109              -2.91356e+07                   1.79734e+09                  -3.05071e+07                      -504089            
        -0.113062              -2.82412e+07                   1.88157e+09                  -2.48852e+07                      -491240            
        -0.103443              -2.68289e+07                   1.96902e+09                  -1.27811e+07                      -334813            
       -0.0942507               -2.5222e+07                   2.06004e+09                   1.05057e+07                       106706            
       -0.0854861              -2.43814e+07                   2.15489e+09                   5.18935e+07                  1.06679e+06            
       -0.0771492              -2.64019e+07                   2.25356e+09                   1.20807e+08                  2.90398e+06            
       -0.0692397              -3.52008e+07                   2.35517e+09                   2.28846e+08                   6.1307e+06            
       -0.0617578              -5.73681e+07                   2.45693e+09                   3.88214e+08                  1.14235e+07            
       -0.0547034              -1.03048e+08                   2.55198e+09                   6.08197e+08                   1.9594e+07            
       -0.0480766              -1.86543e+08                   2.62575e+09                   8.89178e+08                  3.14974e+07            
       -0.0418773              -3.26124e+08                   2.65088e+09                   1.21465e+09                  4.78628e+07            
       -0.0361056              -5.42397e+08                   2.58245e+09                   1.54358e+09                  6.90559e+07            
       -0.0307613              -8.54734e+08                   2.35735e+09                   1.80796e+09                  9.48296e+07            
       -0.0258446              -1.27598e+09                   1.90324e+09                   1.92155e+09                  1.24168e+08            
       -0.0213555              -1.80685e+09                   1.15919e+09                     1.802e+09                  1.55341e+08            
       -0.0172939              -2.43235e+09                   1.02316e+08                    1.4003e+09                  1.86212e+08            
       -0.0136598              -3.12249e+09                   -1.2336e+09                   7.22568e+08                  2.14721e+08            
       -0.0104533              -3.83727e+09                  -2.75967e+09                  -1.68651e+08                   2.3933e+08            
       -0.0076743              -4.53415e+09                  -4.35349e+09                  -1.17402e+09                  2.59267e+08            
      -0.00532284              -5.17478e+09                   -5.8886e+09                  -2.18584e+09                  2.74492e+08            
      -0.00339892              -5.72896e+09                  -7.25747e+09                  -3.11092e+09                  2.85482e+08            
      -0.00190254              -6.17561e+09                  -8.38168e+09                   -3.8812e+09                  2.92967e+08            
     -0.000833698              -6.50157e+09                  -9.21118e+09                  -4.45361e+09                   2.9769e+08            
     -0.000192392              -6.69946e+09                  -9.71775e+09                  -4.80435e+09                  3.00262e+08            
      2.13769e-05              -6.76576e+09                  -9.88791e+09                  -4.92232e+09                  3.01075e+08            
      0.000235146              -6.83222e+09                  -1.00587e+10                  -5.04076e+09                  3.01866e+08            
      0.000876452              -7.03246e+09                  -1.05742e+10                  -5.39867e+09                    3.041e+08            
        0.0019453              -7.36857e+09                  -1.14425e+10                  -6.00201e+09                  3.07363e+08            
       0.00344168              -7.84243e+09                  -1.26705e+10                  -6.85486e+09                  3.10947e+08            
        0.0053656              -8.45324e+09                  -1.42545e+10                  -7.95074e+09                   3.1386e+08            
       0.00771705              -9.19439e+09                  -1.61692e+10                  -9.26205e+09                  3.14886e+08            
         0.010496              -1.00503e+10                  -1.83569e+10                  -1.07314e+10                  3.12732e+08            
        0.0137026              -1.09942e+10                  -2.07257e+10                  -1.22706e+10                  3.06276e+08            
        0.0173367              -1.19892e+10                  -2.31596e+10                  -1.37724e+10                  2.94854e+08            
        0.0213983              -1.29915e+10                  -2.55407e+10                  -1.51338e+10                  2.78493e+08            
        0.0258874              -1.39572e+10                   -2.7774e+10                  -1.62807e+10                  2.57949e+08            
        0.0308041              -1.48489e+10                  -2.98027e+10                  -1.71822e+10                  2.34527e+08            
        0.0361483              -1.56397e+10                  -3.16066e+10                  -1.78471e+10                  2.09751e+08            
        0.0419201              -1.63145e+10                  -3.31904e+10                  -1.83093e+10                  1.85035e+08            
        0.0481194              -1.68683e+10                  -3.45692e+10                  -1.86106e+10                  1.61467e+08            
        0.0547462              -1.73028e+10                   -3.5759e+10                  -1.87883e+10                  1.39739e+08            
        0.0618006              -1.76243e+10                  -3.67727e+10                  -1.88709e+10                  1.20182e+08            
        0.0692825              -1.78407e+10                  -3.76201e+10                  -1.88773e+10                  1.02861e+08            
        0.0771919              -1.79605e+10                  -3.83086e+10                   -1.8819e+10                  8.76695e+07            
        0.0855289              -1.79925e+10                  -3.88448e+10                  -1.87031e+10                  7.44134e+07            
        0.0942934              -1.79446e+10                  -3.92351e+10                  -1.85339e+10                  6.28688e+07            
         0.103485              -1.78249e+10                  -3.94862e+10                  -1.83147e+10                  5.28173e+07            
         0.113105              -1.76409e+10                  -3.96056e+10                  -1.80488e+10                  4.40648e+07            
         0.123152              -1.74001e+10                  -3.96014e+10                  -1.77401e+10                  3.64468e+07            
         0.133627              -1.71098e+10                  -3.94821e+10                   -1.7393e+10                  2.98274e+07            
         0.144529              -1.67772e+10                  -3.92571e+10                  -1.70125e+10                  2.40954e+07            
         0.155859              -1.64098e+10                  -3.89365e+10                  -1.66042e+10                  1.91579e+07            
         0.167616              -1.60144e+10                  -3.85305e+10                  -1.61741e+10                  1.49353e+07            
         0.179801               -1.5598e+10                  -3.80496e+10                   -1.5728e+10                  1.13561e+07            
         0.192413              -1.51673e+10                  -3.75044e+10                  -1.52722e+10                  8.35315e+06            
         0.205453              -1.47284e+10                  -3.69054e+10                  -1.48122e+10                  5.86103e+06            
         0.218921              -1.42871e+10                  -3.62622e+10                  -1.43535e+10                  3.81415e+06            
         0.232816              -1.38483e+10                  -3.55839e+10                  -1.39006e+10                  2.14646e+06            
         0.247138              -1.34161e+10                  -3.48782e+10                  -1.34573e+10                       792063            
         0.261888              -1.29937e+10                  -3.41516e+10                  -1.30266e+10                      -313099            
         0.277066              -1.25834e+10                  -3.34091e+10                  -1.26102e+10                 -1.22876e+06            
         0.292671              -1.21864e+10                  -3.26542e+10                  -1.22089e+10                 -2.00741e+06            
         0.308704              -1.18032e+10                  -3.18891e+10                  -1.18228e+10                 -2.69146e+06            
         0.325164              -1.14335e+10                  -3.11147e+10                   -1.1451e+10                 -3.31103e+06            
         0.342051              -1.10765e+10                  -3.03314e+10                  -1.10924e+10                 -3.88288e+06            
         0.359367              -1.07315e+10                  -2.95396e+10                  -1.07457e+10                 -4.41107e+06            
          0.37711              -1.03975e+10                  -2.87396e+10                  -1.04098e+10                 -4.88932e+06            
          0.39528               -1.0074e+10                  -2.79326e+10                  -1.00842e+10                 -5.30505e+06            
         0.413878              -9.76083e+09                  -2.71205e+10                   -9.7686e+09                 -5.64445e+06            
         0.432903              -9.45823e+09                  -2.63061e+10                  -9.46356e+09                 -5.89766e+06            
         0.452356              -9.16672e+09                  -2.54926e+10                   -9.1698e+09                 -6.06283e+06            
         0.472237              -8.88691e+09                  -2.46836e+10                  -8.88816e+09                 -6.14828e+06            
         0.492545              -8.61925e+09                  -2.38819e+10                  -8.61926e+09                 -6.17182e+06            
          0.51328               -8.3638e+09                    -2.309e+10                  -8.36321e+09                 -6.15745e+06            
         0.534443              -8.12012e+09                  -2.23089e+10                  -8.11952e+09                 -6.13008e+06            
         0.556034              -7.88734e+09                  -2.15388e+10                  -7.88707e+09                 -6.10986e+06            
         0.578052              -7.66424e+09                  -2.07791e+10                  -7.66442e+09                 -6.10785e+06            
         0.600498              -7.44958e+09                   -2.0029e+10                  -7.45009e+09                 -6.12443e+06            
         0.623371              -7.24236e+09                  -1.92882e+10                  -7.24295e+09                 -6.15135e+06            
         0.646672              -7.04198e+09                  -1.85568e+10                  -7.04241e+09                 -6.17664e+06            
           0.6704              -6.84831e+09                  -1.78359e+10                  -6.84846e+09                 -6.19092e+06            
         0.694556              -6.66155e+09                  -1.71271e+10                  -6.66149e+09                 -6.19255e+06            
          0.71914              -6.48193e+09                  -1.64318e+10                  -6.48192e+09                 -6.18954e+06            
         0.744151              -6.30946e+09                  -1.57508e+10                  -6.30983e+09                  -6.1973e+06            
         0.769589              -6.14376e+09                  -1.50841e+10                  -6.14479e+09                 -6.23281e+06            
         0.795455              -5.98404e+09                  -1.44305e+10                  -5.98585e+09                 -6.30781e+06            
         0.821749              -5.82935e+09                  -1.37887e+10                  -5.83185e+09                   -6.424e+06            
          0.84847              -5.67887e+09                  -1.31574e+10                  -5.68179e+09                 -6.57257e+06            
         0.875618              -5.53214e+09                   -1.2536e+10                  -5.53519e+09                 -6.73863e+06            
         0.903195              -5.38918e+09                  -1.19248e+10                  -5.39216e+09                 -6.90825e+06            
         0.931198              -5.25029e+09                  -1.13249e+10                  -5.25317e+09                 -7.07468e+06            
          0.95963               -5.1158e+09                  -1.07371e+10                  -5.11868e+09                 -7.24036e+06            
         0.988488              -4.98571e+09                  -1.01621e+10                  -4.98875e+09                 -7.41338e+06            
          1.01777              -4.85968e+09                   -9.5995e+09                  -4.86292e+09                 -7.60059e+06            
          1.04749              -4.73707e+09                  -9.04862e+09                  -4.74043e+09                  -7.8013e+06            
          1.07763              -4.61735e+09                  -8.50901e+09                  -4.62061e+09                 -8.00556e+06            
           1.1082              -4.50032e+09                  -7.98095e+09                  -4.50324e+09                 -8.19849e+06            
           1.1392              -4.38619e+09                  -7.46565e+09                  -4.38864e+09                 -8.36791e+06            
          1.17062              -4.27537e+09                  -6.96481e+09                   -4.2774e+09                 -8.51042e+06            
          1.20247              -4.16816e+09                  -6.47987e+09                   -4.1699e+09                 -8.63164e+06            
          1.23475              -4.06444e+09                  -6.01157e+09                  -4.06603e+09                 -8.74051e+06            
          1.26746               -3.9638e+09                  -5.55995e+09                  -3.96524e+09                 -8.84136e+06            
          1.30059              -3.86577e+09                  -5.12496e+09                  -3.86693e+09                 -8.92992e+06            
          1.33415              -3.77014e+09                  -4.70707e+09                  -3.77089e+09                 -8.99615e+06            
          1.36814               -3.6771e+09                   -4.3075e+09                  -3.67739e+09                 -9.03198e+06            
          1.40256              -3.58702e+09                  -3.92777e+09                  -3.58692e+09                 -9.03773e+06            
           1.4374              -3.50009e+09                  -3.56897e+09                  -3.49977e+09                 -9.02185e+06            
          1.47267              -3.41612e+09                  -3.23131e+09                  -3.41568e+09                 -8.99409e+06            
          1.50837              -3.33465e+09                  -2.91439e+09                  -3.33407e+09                 -8.95771e+06            
           1.5445              -3.25532e+09                  -2.61785e+09                  -3.25451e+09                  -8.9076e+06            
          1.58106              -3.17812e+09                  -2.34197e+09                  -3.17701e+09                  -8.8361e+06            
          1.61804              -3.10335e+09                   -2.0875e+09                  -3.10196e+09                 -8.74115e+06            
          1.65545              -3.03122e+09                  -1.85494e+09                  -3.02969e+09                 -8.62924e+06            
          1.69328              -2.96162e+09                  -1.64403e+09                  -2.96007e+09                 -8.51008e+06            
          1.73155              -2.89416e+09                  -1.45376e+09                  -2.89258e+09                 -8.38805e+06            
          1.77024              -2.82848e+09                  -1.28312e+09                  -2.82678e+09                 -8.25913e+06            
          1.80936              -2.76457e+09                  -1.13169e+09                  -2.76268e+09                 -8.11629e+06            
          1.84891              -2.70268e+09                  -9.99494e+08                  -2.70065e+09                 -7.95801e+06            
          1.88888              -2.64299e+09                  -8.86331e+08                  -2.64093e+09                 -7.79082e+06            
          1.92928              -2.58533e+09                  -7.91194e+08                  -2.58331e+09                 -7.62291e+06            
          1.97011              -2.52931e+09                  -7.12552e+08                   -2.5273e+09                 -7.45591e+06            
          2.01137               -2.4747e+09                  -6.49127e+08                   -2.4726e+09                  -7.2841e+06            
          2.05306               -2.4216e+09                  -6.00308e+08                  -2.41941e+09                   -7.102e+06            
          2.09517              -2.37029e+09                  -5.65708e+08                  -2.36806e+09                 -6.91163e+06            
          2.13771              -2.32076e+09                  -5.44417e+08                  -2.31858e+09                 -6.72067e+06            
          2.18068               -2.2727e+09                  -5.34842e+08                  -2.27059e+09                 -6.53366e+06            
          2.22407              -2.22582e+09                  -5.35377e+08                   -2.2237e+09                 -6.34716e+06            
          2.26789              -2.18015e+09                  -5.45059e+08                  -2.17796e+09                 -6.15499e+06            
          2.31214              -2.13591e+09                  -5.63376e+08                  -2.13371e+09                 -5.95695e+06            
          2.35682              -2.09318e+09                  -5.89487e+08                  -2.09105e+09                 -5.75961e+06            
          2.40193              -2.05172e+09                  -6.21896e+08                  -2.04967e+09                 -5.56804e+06            
          2.44746              -2.01124e+09                  -6.59033e+08                  -2.00921e+09                 -5.37964e+06            
          2.49342              -1.97174e+09                  -6.99965e+08                  -1.96968e+09                 -5.18855e+06            
          2.53981              -1.93345e+09                  -7.44245e+08                   -1.9314e+09                 -4.99456e+06            
          2.58662              -1.89642e+09                  -7.91124e+08                  -1.89447e+09                 -4.80391e+06            
          2.63387              -1.86042e+09                  -8.39262e+08                  -1.85856e+09                 -4.62067e+06            
          2.68154               -1.8252e+09                  -8.87382e+08                  -1.82336e+09                 -4.44142e+06            
          2.72964              -1.79083e+09                  -9.34903e+08                  -1.78899e+09                 -4.26106e+06            
          2.77816              -1.75753e+09                  -9.81593e+08                  -1.75574e+09                 -4.08114e+06            
          2.82711              -1.72526e+09                  -1.02679e+09                  -1.72357e+09                 -3.90778e+06            
          2.87649              -1.69375e+09                  -1.06939e+09                  -1.69214e+09                 -3.74248e+06            
           2.9263              -1.66287e+09                  -1.10867e+09                  -1.66128e+09                 -3.58028e+06            
          2.97654               -1.6328e+09                  -1.14457e+09                  -1.63123e+09                 -3.41827e+06            
           3.0272              -1.60367e+09                  -1.17702e+09                  -1.60218e+09                 -3.26069e+06            
          3.07829               -1.5753e+09                  -1.20543e+09                  -1.57391e+09                   -3.112e+06            
          3.12981              -1.54747e+09                  -1.22912e+09                  -1.54613e+09                 -2.96968e+06            
          3.18176              -1.52024e+09                  -1.24811e+09                  -1.51892e+09                 -2.82894e+06            
          3.23413               -1.4938e+09                  -1.26272e+09                  -1.49255e+09                 -2.69121e+06            
          3.28693               -1.4681e+09                  -1.27285e+09                  -1.46694e+09                 -2.56166e+06            
          3.34016              -1.44289e+09                  -1.27806e+09                  -1.44179e+09                 -2.44004e+06            
          3.39381              -1.41815e+09                  -1.27843e+09                  -1.41707e+09                 -2.32134e+06            
           3.4479              -1.39407e+09                  -1.27451e+09                  -1.39305e+09                 -2.20506e+06            
          3.50241              -1.37067e+09                  -1.26657e+09                  -1.36973e+09                 -2.09602e+06            
          3.55735              -1.34771e+09                  -1.25441e+09                  -1.34684e+09                 -1.99516e+06            
          3.61271              -1.32514e+09                  -1.23819e+09                  -1.32429e+09                 -1.89781e+06            
          3.66851              -1.30314e+09                  -1.21861e+09                  -1.30233e+09                 -1.80264e+06            
          3.72473              -1.28174e+09                   -1.1961e+09                  -1.28101e+09                 -1.71403e+06            
          3.78138              -1.26074e+09                  -1.17064e+09                  -1.26006e+09                 -1.63313e+06            
          3.83845              -1.24007e+09                  -1.14246e+09                  -1.23941e+09                 -1.55545e+06            
          3.89596              -1.21991e+09                  -1.11232e+09                  -1.21929e+09                 -1.47981e+06            
          3.95389              -1.20028e+09                  -1.08068e+09                  -1.19973e+09                 -1.41036e+06            
          4.01225              -1.18099e+09                  -1.04753e+09                  -1.18048e+09                 -1.34766e+06            
          4.07103                -1.162e+09                   -1.0132e+09                   -1.1615e+09                 -1.28726e+06            
          4.13025              -1.14349e+09                  -9.78431e+08                  -1.14303e+09                 -1.22889e+06            
          4.18989              -1.12543e+09                  -9.43531e+08                  -1.12503e+09                 -1.17655e+06            
          4.24996              -1.10764e+09                  -9.08469e+08                  -1.10726e+09                 -1.12946e+06            
          4.31046              -1.09016e+09                  -8.73639e+08                  -1.08979e+09                 -1.08347e+06            
          4.37138              -1.07313e+09                  -8.39643e+08                   -1.0728e+09                 -1.03992e+06            
          4.43273              -1.05647e+09                   -8.0656e+08                  -1.05618e+09                 -1.00209e+06            
          4.49451              -1.04002e+09                  -7.74336e+08                  -1.03975e+09                      -967396            
          4.55672              -1.02392e+09                   -7.4341e+08                  -1.02366e+09                      -932992            
          4.61935              -1.00823e+09                  -7.14125e+08                  -1.00801e+09                      -901891            
          4.68241              -9.92803e+08                  -6.86304e+08                  -9.92605e+08                      -875413            
           4.7459              -9.77597e+08                  -6.59976e+08                  -9.77397e+08                      -849738            
          4.80982              -9.62764e+08                  -6.35529e+08                  -9.62585e+08                      -824658            
          4.87416              -9.48263e+08                  -6.12936e+08                  -9.48117e+08                      -803572            
          4.93894               -9.3395e+08                  -5.91921e+08                  -9.33806e+08                      -784807            
          5.00414              -9.19915e+08                  -5.72666e+08                  -9.19772e+08                      -765440            
          5.06976               -9.0624e+08                  -5.55315e+08                  -9.06125e+08                      -748127            
          5.13582              -8.92781e+08                  -5.39527e+08                  -8.92679e+08                      -734006            
           5.2023              -8.79521e+08                  -5.25196e+08                   -8.7941e+08                      -719543            
          5.26921              -8.66594e+08                   -5.1252e+08                    -8.665e+08                      -705237            
          5.33655              -8.53928e+08                  -5.01254e+08                  -8.53853e+08                      -693911            
          5.40431              -8.41421e+08                  -4.91086e+08                  -8.41337e+08                      -683095            
           5.4725              -8.29194e+08                  -4.82147e+08                  -8.29113e+08                      -671280            
          5.54112              -8.17255e+08                  -4.74342e+08                  -8.17194e+08                      -661554            
          5.61017              -8.05468e+08                  -4.67273e+08                  -8.05403e+08                      -653081            
          5.67964              -7.93907e+08                  -4.60965e+08                  -7.93837e+08                      -643194            
          5.74955              -7.82639e+08                  -4.55446e+08                  -7.82587e+08                      -634367            
          5.81988              -7.71533e+08                  -4.50333e+08                   -7.7148e+08                      -627180            
          5.89063              -7.60608e+08                  -4.45561e+08                  -7.60545e+08                      -618611            
          5.96182              -7.49966e+08                  -4.41238e+08                  -7.49917e+08                      -610259            
          6.03343              -7.39495e+08                  -4.37049e+08                  -7.39448e+08                      -603633            
          6.10547              -7.29177e+08                  -4.32874e+08                  -7.29118e+08                      -595817            
          6.17794              -7.19123e+08                  -4.28876e+08                  -7.19074e+08                      -587665            
          6.25083              -7.09244e+08                  -4.24815e+08                    -7.092e+08                      -581167            
          6.32416              -6.99499e+08                  -4.20559e+08                  -6.99443e+08                      -573656            
          6.39791              -6.90001e+08                  -4.16303e+08                  -6.89953e+08                      -565529            
          6.47209              -6.80674e+08                  -4.11871e+08                  -6.80631e+08                      -558939            
          6.54669               -6.7147e+08                  -4.07146e+08                  -6.71414e+08                      -551426            
          6.62172              -6.62496e+08                  -4.02346e+08                  -6.62448e+08                      -543231            
          6.69718              -6.53684e+08                  -3.97335e+08                   -6.5364e+08                      -536474            
          6.77307              -6.44987e+08                  -3.92027e+08                  -6.44932e+08                      -528776            
          6.84939               -6.3651e+08                  -3.86655e+08                  -6.36462e+08                      -520511            
          6.92613              -6.28177e+08                  -3.81091e+08                  -6.28132e+08                      -513589            
           7.0033              -6.19957e+08                  -3.75299e+08                  -6.19902e+08                      -505626            
           7.0809              -6.11946e+08                  -3.69509e+08                  -6.11899e+08                      -497369            
          7.15892              -6.04058e+08                   -3.6358e+08                  -6.04012e+08                      -490317            
          7.23738              -5.96287e+08                  -3.57534e+08                  -5.96233e+08                      -482090            
          7.31626              -5.88713e+08                  -3.51574e+08                  -5.88668e+08                      -473981            
          7.39557               -5.8124e+08                  -3.45538e+08                  -5.81192e+08                      -466820            
           7.4753              -5.73893e+08                  -3.39515e+08                   -5.7384e+08                      -458413            
          7.55547              -5.66725e+08                  -3.33646e+08                  -5.66682e+08                      -450619            
          7.63606              -5.59638e+08                  -3.27762e+08                  -5.59589e+08                      -443332            
          7.71708              -5.52693e+08                  -3.22015e+08                  -5.52644e+08                      -434924            
          7.79852              -5.45899e+08                  -3.16449e+08                  -5.45857e+08                      -427570            
          7.88039              -5.39176e+08                  -3.10924e+08                  -5.39126e+08                      -420115            
           7.9627              -5.32609e+08                  -3.05631e+08                  -5.32564e+08                      -411982            
          8.04542              -5.26155e+08                  -3.00497e+08                  -5.26114e+08                      -405072            
          8.12858              -5.19781e+08                  -2.95465e+08                  -5.19733e+08                      -397458            
          8.21216              -5.13564e+08                  -2.90703e+08                  -5.13525e+08                      -389918            
          8.29617              -5.07424e+08                  -2.86049e+08                  -5.07382e+08                      -383280            
          8.38061              -5.01387e+08                  -2.81564e+08                  -5.01344e+08                      -375685            
          8.46548              -4.95486e+08                   -2.7731e+08                  -4.95451e+08                      -368941            
          8.55077              -4.89642e+08                  -2.73126e+08                    -4.896e+08                      -362314            
          8.63649              -4.83929e+08                  -2.69159e+08                  -4.83891e+08                      -355126            
          8.72264              -4.78307e+08                  -2.65325e+08                  -4.78272e+08                      -349074            
          8.80922              -4.72755e+08                  -2.61572e+08                  -4.72715e+08                      -342355            
          8.89622              -4.67336e+08                  -2.58022e+08                  -4.67304e+08                      -335995            
          8.98366               -4.6197e+08                  -2.54508e+08                  -4.61935e+08                      -330211            
          9.07151              -4.56709e+08                  -2.51126e+08                  -4.56675e+08                      -323699            
           9.1598              -4.51544e+08                  -2.47853e+08                  -4.51515e+08                      -318226            
          9.24851              -4.46433e+08                  -2.44595e+08                  -4.46398e+08                      -312343            
          9.33766              -4.41442e+08                  -2.41486e+08                  -4.41415e+08                      -306589            
          9.42723              -4.36502e+08                  -2.38375e+08                  -4.36472e+08                      -301511            
          9.51722              -4.31652e+08                  -2.35342e+08                  -4.31623e+08                      -295728            
          9.60765              -4.26891e+08                  -2.32381e+08                  -4.26866e+08                      -290898            
           9.6985              -4.22176e+08                  -2.29403e+08                  -4.22146e+08                      -285686            
          9.78978              -4.17572e+08                  -2.26538e+08                  -4.17548e+08                      -280647            
          9.88148              -4.13009e+08                  -2.23646e+08                  -4.12982e+08                      -276146            
          9.97362              -4.08533e+08                  -2.20821e+08                  -4.08509e+08                      -271044            
          10.0662              -4.04129e+08                  -2.18034e+08                  -4.04107e+08                      -266857            
          10.1592              -3.99775e+08                  -2.15239e+08                  -3.99749e+08                      -262145            
          10.2526              -3.95516e+08                  -2.12538e+08                  -3.95497e+08                      -257857            
          10.3464              -3.91291e+08                  -2.09802e+08                  -3.91267e+08                      -253755            
          10.4407              -3.87156e+08                  -2.07154e+08                  -3.87136e+08                      -249324            
          10.5354              -3.83069e+08                  -2.04511e+08                  -3.83049e+08                      -245656            
          10.6305              -3.79044e+08                  -2.01903e+08                  -3.79022e+08                      -241354            
          10.7261              -3.75092e+08                  -1.99361e+08                  -3.75075e+08                      -237778            
          10.8221              -3.71176e+08                  -1.96806e+08                  -3.71154e+08                      -233881            
          10.9185              -3.67346e+08                  -1.94351e+08                   -3.6733e+08                      -230189            
          11.0153              -3.63544e+08                  -1.91878e+08                  -3.63525e+08                      -226759            
          11.1126              -3.59821e+08                  -1.89491e+08                  -3.59805e+08                      -222979            
          11.2103              -3.56139e+08                  -1.87119e+08                  -3.56122e+08                      -219870            
          11.3084              -3.52512e+08                  -1.84794e+08                  -3.52495e+08                      -216179            
          11.4069              -3.48946e+08                  -1.82527e+08                  -3.48932e+08                      -213175            
          11.5059              -3.45415e+08                  -1.80266e+08                  -3.45397e+08                      -209749            
          11.6053              -3.41957e+08                  -1.78094e+08                  -3.41943e+08                      -206699            
          11.7051              -3.38522e+08                  -1.75908e+08                  -3.38505e+08                      -203612            
          11.8054              -3.35161e+08                  -1.73815e+08                  -3.35148e+08                      -200480            
          11.9061              -3.31825e+08                  -1.71714e+08                   -3.3181e+08                      -197698            
          12.0072              -3.28554e+08                  -1.69686e+08                  -3.28541e+08                      -194542            
          12.1087              -3.25317e+08                  -1.67671e+08                  -3.25303e+08                      -191967            
          12.2107              -3.22129e+08                    -1.657e+08                  -3.22116e+08                      -188881            
          12.3131              -3.18988e+08                  -1.63768e+08                  -3.18976e+08                      -186408            
          12.4159              -3.15881e+08                  -1.61851e+08                  -3.15868e+08                      -183472            
          12.5192              -3.12831e+08                  -1.59993e+08                   -3.1282e+08                      -181024            
          12.6229              -3.09805e+08                  -1.58129e+08                  -3.09791e+08                      -178286            
           12.727               -3.0684e+08                  -1.56336e+08                   -3.0683e+08                      -175825            
          12.8315              -3.03893e+08                  -1.54526e+08                   -3.0388e+08                      -173293            
          12.9365              -3.01008e+08                  -1.52789e+08                  -3.00998e+08                      -170816            
          13.0418               -2.9814e+08                  -1.51034e+08                  -2.98128e+08                      -168473            
          13.1477              -2.95331e+08                  -1.49346e+08                  -2.95321e+08                      -165997            
          13.2539               -2.9254e+08                  -1.47646e+08                  -2.92528e+08                      -163813            
          13.3606              -2.89803e+08                  -1.46003e+08                  -2.89794e+08                      -161362            
          13.4677              -2.87088e+08                  -1.44356e+08                  -2.87077e+08                      -159307            
          13.5752              -2.84419e+08                  -1.42756e+08                   -2.8441e+08                      -156902            
          13.6831              -2.81777e+08                  -1.41161e+08                  -2.81766e+08                      -154949            
          13.7915              -2.79176e+08                  -1.39602e+08                  -2.79166e+08                      -152607            
          13.9003              -2.76603e+08                  -1.38056e+08                  -2.76593e+08                      -150738            
          14.0096              -2.74067e+08                  -1.36539e+08                  -2.74058e+08                      -148468            
          14.1192              -2.71561e+08                   -1.3504e+08                  -2.71552e+08                      -146669            
          14.2293              -2.69088e+08                  -1.33564e+08                  -2.69079e+08                      -144476            
          14.3398              -2.66647e+08                  -1.32111e+08                  -2.66638e+08                      -142740            
          14.4508              -2.64236e+08                  -1.30676e+08                  -2.64227e+08                      -140623            
